,Jet1 pT > 310,Jet2 pT > 310,At least 1 jet pT > 350,Jet1 MassSD > 105,Jet1 MassSD < 135,Jet1 PNetXbb > 0.985,Jet2 PNetXbb > 0.985,Jet2 MassSD > 105,Jet2 MassSD < 135
QCD,51990848.0,39999376.0,33982720.0,9772593.0,5115579.0,24296.85,30.89,7.55,0.0
tt,387454.41,300344.09,277053.44,185616.36,60294.43,2431.17,30.26,19.22,6.53
HH4b,6.72,5.07,4.56,3.86,3.02,2.1,0.49,0.41,0.34
data,30446225.0,27434705.0,26751972.0,8793488.0,4026574.0,23457.0,51.0,22.0,11.0
