,Jet1Pt > 275,Jet2Pt > 300,Jet1MassSD > 110,Jet1MassSD < 140,Jet2MassSD > 115,Jet2MassSD < 145,Jet1PNetXbb > 0.99,Jet2PNetHqqqq > 0.935
HHbbVV4q,7.426,5.698,3.136,2.674,1.787,0.747,0.289,0.06
QCD,132038720.0,97891360.0,16968956.0,10704003.0,5698688.0,1026329.375,2858.652,0.0
tt,43799.68,31212.457,11310.831,7114.664,4961.294,914.703,27.061,0.0
data,52727476.0,48747074.0,12476130.0,6182961.0,3329508.0,501531.0,2400.0,10.0
