,Jet1Pt > 340,Jet2Pt > 300,Jet1MassSD > 115,Jet1MassSD < 145,Jet2MassSD > 115,Jet2MassSD < 145,Jet1PNetXbb > 0.99,Jet2PNetHqqqq > 0.935
HHbbVV4q,3.063,2.841,1.752,1.511,0.982,0.428,0.174,0.04
QCD,43722600.0,41620800.0,9982505.0,5295140.5,2814876.75,482968.062,1595.912,0.0
tt,19486.695,16097.639,6966.567,3914.32,2659.421,493.107,11.328,0.0
data,31520323.0,30635191.0,8685196.0,3944125.0,2101484.0,314752.0,1517.0,9.0
