,Jet1Pt > 340,Jet2Pt > 350,Jet1MassSD > 110,Jet1MassSD < 140,Jet2MassSD > 115,Jet2MassSD < 145,Jet1PNetXbb > 0.99,Jet2DeepAK8MD_H4qvsQCD > 0.96
HHbbVV4q,2.436,1.832,1.338,1.094,0.542,0.438,0.181,0.022
QCD,30395002.0,23411388.0,7130838.0,3465820.5,865081.438,441592.531,1369.269,0.0
tt,11058.004,7937.878,4221.535,2116.45,839.993,421.448,14.026,0.019
data,23132357.0,19911528.0,6768301.0,2898359.0,763789.0,345139.0,1584.0,5.0
