,Jet1 pT > 315,Jet2 pT > 320,Jet1 MassSD > 110,Jet1 MassSD < 140,Jet1 PNetXbb > 0.99,Jet2 DeepAK8H4qvsQCD > 0.94,Jet2 MassSD > 115,Jet2 MassSD < 135
HHbbVV4q,7.135,4.992,4.03,1.9,0.605,0.074,0.049,0.025
QCD,49052880.0,46709564.0,8733221.0,5127547.5,10256.848,14.168,0.0,0.0
tt,15924.431,14569.566,5300.799,3128.137,0.0,0.0,0.0,0.0
